120,4346,24086
0,2,1
0,3,7
0,4,2
0,5,9
0,6,2
0,7,9
0,10,2
0,12,3
0,13,8
0,16,2
0,18,7
0,24,5
0,25,8
0,26,1
0,27,10
0,28,4
0,29,3
0,30,6
0,31,1
0,34,7
0,36,10
0,38,3
0,39,2
0,40,4
0,41,10
0,42,5
0,45,8
0,49,1
0,50,3
0,54,10
0,55,7
0,57,2
0,59,9
0,60,3
0,61,10
0,66,3
0,69,2
0,70,7
0,72,9
0,74,9
0,76,6
0,77,9
0,78,6
0,81,3
0,82,6
0,83,4
0,85,6
0,86,9
0,87,10
0,88,8
0,90,4
0,92,4
0,93,8
0,94,6
0,95,8
0,99,1
0,100,10
0,101,1
0,104,1
0,105,10
0,106,2
0,107,7
0,108,2
0,112,8
0,113,1
0,114,4
0,115,4
0,116,6
0,117,8
0,118,5
1,3,9
1,4,3
1,6,4
1,7,7
1,8,10
1,10,2
1,11,3
1,12,9
1,13,5
1,15,8
1,16,5
1,18,9
1,20,5
1,23,1
1,25,6
1,26,3
1,27,8
1,29,10
1,31,7
1,32,4
1,36,1
1,38,1
1,39,9
1,41,5
1,42,10
1,43,9
1,46,5
1,48,5
1,49,6
1,50,8
1,52,2
1,53,4
1,58,8
1,59,2
1,60,8
1,61,4
1,62,7
1,63,9
1,64,4
1,66,8
1,67,9
1,68,5
1,69,9
1,71,3
1,76,1
1,78,8
1,80,10
1,81,2
1,85,7
1,87,10
1,89,9
1,90,5
1,91,1
1,92,7
1,94,4
1,95,2
1,97,8
1,98,4
1,99,3
1,100,6
1,101,1
1,102,3
1,103,6
1,104,10
1,105,5
1,106,1
1,107,6
1,108,8
1,109,8
1,110,5
1,111,4
1,112,7
1,113,9
1,114,9
1,116,2
1,118,6
1,119,3
2,3,9
2,4,6
2,6,1
2,9,5
2,12,4
2,13,7
2,14,8
2,17,5
2,21,4
2,22,6
2,23,6
2,24,9
2,26,4
2,27,2
2,28,7
2,29,4
2,32,7
2,38,5
2,41,4
2,42,7
2,44,1
2,48,3
2,53,8
2,55,8
2,57,1
2,58,2
2,61,6
2,62,6
2,63,7
2,65,6
2,68,1
2,72,8
2,74,6
2,75,1
2,77,6
2,79,9
2,82,10
2,83,4
2,86,10
2,88,2
2,89,3
2,91,5
2,94,6
2,95,3
2,96,6
2,97,2
2,102,9
2,104,3
2,106,10
2,107,6
2,109,2
2,110,9
2,111,2
2,112,7
2,113,2
2,114,4
